Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Web,Chrome 122.0.0.0,,,05-03-2024 12:26:48,05-03-2024 12:27:19,31.168s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google,Chrome 122.0.0.0,,,05-03-2024 12:26:48,05-03-2024 12:26:52,4.509s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:26:48,05-03-2024 12:26:49,1.273s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:26:49,05-03-2024 12:26:49,0.088s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:26:49,05-03-2024 12:26:50,0.690s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 12:26:50,05-03-2024 12:26:51,0.582s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 12:26:51,05-03-2024 12:26:51,0.547s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:26:51,05-03-2024 12:26:51,0.319s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:26:51,05-03-2024 12:26:52,0.301s,PASSED
"takeFullPageScreenshot(""IMG/Screen1.png"")",Chrome 122.0.0.0,,,05-03-2024 12:26:52,05-03-2024 12:26:52,0.374s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:26:52,05-03-2024 12:26:52,0.145s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google2,Chrome 122.0.0.0,,,05-03-2024 12:26:52,05-03-2024 12:26:56,3.369s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:26:52,05-03-2024 12:26:53,0.553s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:26:53,05-03-2024 12:26:53,0.062s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""Johnj"")",Chrome 122.0.0.0,,,05-03-2024 12:26:53,05-03-2024 12:26:53,0.605s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canoncanoncano"")",Chrome 122.0.0.0,,,05-03-2024 12:26:53,05-03-2024 12:26:54,0.589s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""149"")",Chrome 122.0.0.0,,,05-03-2024 12:26:54,05-03-2024 12:26:55,0.566s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:26:55,05-03-2024 12:26:55,0.304s,PASSED
